Address,Beds,Baths,Type,Area_in_sqft,Furnishing,Age_of_listing_in_days,Location,Latitude,Longitude,Distance_to_center,Geo_cluster,Location_score,Rent_per_sqft
1783,0,2,1,415,0,12,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,154.21686746987953
1069,3,2,1,1735,0,12,118,25.21683265,55.30011608643647,3.241162058536879,24,0.6077011987013862,207.4927953890489
1616,2,2,1,1298,1,12,73,25.0690625,55.141165591907736,19.92409075423687,3,0.37522924942586444,92.44992295839754
814,1,2,1,578,1,12,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,224.91176470588235
2597,0,2,1,388,0,12,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,141.75257731958763
436,2,2,1,1382,1,12,69,25.0778021,55.13518094856796,19.61940470844985,3,0.5235815321214037,159.18958031837917
1751,1,2,1,674,0,12,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,146.88427299703264
36,3,2,1,1604,1,12,23,25.1871198,55.43736387153433,16.901728831239225,19,0.05213900687053565,65.46134663341645
781,1,2,1,958,1,12,41,25.03827075,55.145695642320376,22.349156098642457,16,0.18999865429335974,62.63048016701461
1453,2,2,1,1326,0,12,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,143.28808446455506
2476,2,2,1,1300,1,12,33,25.23559045,55.29672026315799,4.296076586563405,24,0.30838188047021675,73.84615384615384
2508,0,2,2,754,0,12,97,25.21762295,55.2782830925684,1.6082448662671087,11,0.3586467459384239,278.51458885941645
1512,2,2,1,1473,0,12,20,25.2208602,55.2737617,1.8039480495430007,11,0.3497110696316436,74.6775288526816
1886,5,2,5,4000,1,12,83,25.2211708,55.4224204,15.386843936560078,19,0.061662089024638454,45.0
586,1,2,1,537,1,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,139.66480446927375
575,0,2,1,386,1,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,121.76165803108807
1027,0,2,1,496,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,104.03225806451611
2610,0,2,1,464,0,12,56,24.9144391,55.1615128,34.00214879141342,6,0.034778920832006496,81.89655172413794
1126,1,2,1,670,1,12,4,25.0267099,55.1469903,23.347593371180075,16,0.1560696987151881,104.4776119402985
1512,2,2,1,1392,0,12,20,25.2208602,55.2737617,1.8039480495430007,11,0.3497110696316436,96.98275862068964
1715,2,2,4,1625,1,12,84,25.1640592,55.28566124091724,4.755203251779568,8,0.2451916554850332,104.6153846153846
1027,3,2,1,2122,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,62.205466540999055
2508,1,2,2,893,0,12,97,25.21762295,55.2782830925684,1.6082448662671087,11,0.3586467459384239,257.558790593505
2556,1,2,1,1003,0,12,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,149.55134596211366
1135,3,2,4,2142,1,12,109,25.02426745,55.22382996438196,20.55183860358826,23,0.09868517080537427,95.70494864612512
1888,4,5,5,7500,1,12,83,25.2211708,55.4224204,15.386843936560078,19,0.061662089024638454,26.666666666666668
1888,4,5,1,7500,1,12,83,25.2211708,55.4224204,15.386843936560078,19,0.061662089024638454,26.666666666666668
1712,0,1,1,389,1,12,56,24.9144391,55.1615128,34.00214879141342,6,0.034778920832006496,102.82776349614396
1211,4,2,5,3038,1,12,56,24.9144391,55.1615128,34.00214879141342,6,0.034778920832006496,42.79131007241606
2420,2,2,1,1483,1,12,85,25.0476902,55.23820948643042,17.711418618087812,21,0.10834237896477104,80.91706001348618
410,3,2,5,2456,1,12,26,25.04875135,55.26728851815184,17.28988131878473,5,0.09169033944292032,111.97068403908794
1451,0,2,1,400,1,12,66,25.1322737,55.39813984933585,15.144156567017196,12,0.0661957407350738,100.0
1027,1,2,1,915,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,52.459016393442624
2832,2,2,1,2386,1,12,107,25.09125005,55.170056626517066,16.167880539631586,10,0.2795714283508692,81.72673931265717
1715,3,2,5,2017,1,12,84,25.1640592,55.28566124091724,4.755203251779568,8,0.2451916554850332,109.07288051561726
730,3,2,1,2122,0,12,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,62.205466540999055
2597,1,2,1,666,0,12,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,105.10510510510512
1863,3,2,5,3196,1,12,94,25.0315993,55.275689057829474,19.192581745730863,5,0.0772947194801393,71.96495619524406
1619,1,2,1,719,1,12,73,25.0690625,55.141165591907736,19.92409075423687,3,0.37522924942586444,104.3115438108484
944,1,2,1,485,1,12,46,25.09872095,55.25394008697513,11.873242595816919,14,0.13452109142213745,175.2577319587629
685,1,2,1,641,1,12,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,109.204368174727
733,1,2,1,716,0,12,43,25.197978,55.36037960558315,9.059846490855643,1,0.1313914365067134,153.6312849162011
578,0,1,1,298,1,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,151.00671140939596
436,2,3,1,1382,1,12,69,25.0778021,55.13518094856796,19.61940470844985,3,0.5235815321214037,159.18958031837917
1332,0,1,1,530,1,12,37,25.0279508,55.2649127,19.59939940889517,5,0.07994397146308711,98.1132075471698
2444,4,4,5,3595,1,12,46,25.12689085,55.263874387067744,8.658610357744806,14,0.15776767843657796,152.990264255911
567,2,2,1,847,1,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,123.96694214876032
593,1,2,1,847,1,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,94.45100354191264
2556,2,2,1,1474,1,12,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,220.48846675712343
1027,1,2,1,1086,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,44.19889502762431
2522,3,2,1,3033,1,12,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,131.88262446422684
3010,1,2,1,474,1,12,34,25.18942655,55.26481901527489,1.8065482546048213,2,0.39226945096771787,158.22573839662448
2916,2,2,1,1173,1,12,43,25.197978,55.36037960558315,9.059846490855643,1,0.1313914365067134,157.7152600170503
2772,3,2,5,936,1,12,104,25.05995825,55.18239787686163,18.35501894409587,29,0.18838267415220272,320.5128205128205
1027,1,2,1,967,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,70.73422957600827
